text,created_at,retweets,likes,source,geo,profile_location,profile_name,profile_description,sentiment
RT @suhasinih: Saudi Arabian Crown Prince Mohammed bin Salman after talks with PM Modi makes no mention of #PulwamaAttack or cross border tÖ,Wed Feb 20 08:57:08 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,India,Rajesh Sundaram,"Rashmi Sanyal's husband, Ananya and Ahana's dad, journalist and author. Based in Delhi. These are my personal views. Retweets are not always endorsements.",Negative
"@ImranKhanPTI it doesn't matter how much u talk,actions are required these 7points are more than enough to point hoÖ https://t.co/OlVlQg2beW",Wed Feb 20 08:57:12 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Chennai, India",Buvan Varun,On the Journey of becoming a world icon.!,Neutral
RT @NihaMasih: Very odd that PM's speech alongside #CrownPrince only made generic statements on curbing terrorism but did not mention PakisÖ,Wed Feb 20 08:57:18 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,India,Monotosh Mittra,story tssseller,Negative
"RT @sakshijoshii: Why does our PM look so happy, goes to receive the Same Saudi Crown Prince who just had a good trade deal with Pakistan 1Ö",Wed Feb 20 08:57:19 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,vivek_bharti,"Engineer ,tech lover , blogger , Digital marketer , future Entrepreneur ...",Positve
"RT @Hariindic: So @INCIndia think #SaudiCrownPrince masterminded the murder of a journalist?

U guys wanted no hate and peace talks with PaÖ",Wed Feb 20 08:57:20 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"New Delhi, India",TIRANGA MERA SHAAN,A Nationalist Hindu - Andhraite RTs Do Not Imply Endorsements.. Jai Sriram,Negative
"RT @nailainayat: What kind of anti-Hindu sentiment are you fanning @RadioPakistan? ""mandiro mein ghantian nahi bajay gi""   What message areÖ",Wed Feb 20 08:57:20 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Paradise,Desi___,,Neutral
"India should go ahead and abrogate the Indus Water Treaty 
This will bring Pakistan down to its kneesÖ https://t.co/EXsj97PcKc",Wed Feb 20 08:57:21 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,"New Delhi, India",Dhiraj Ahuja,"Blogger | Aspiring Author, Affiliate Marketer | Ex-Journalist | Event Manager @ http://teamorange.in | #IndiaFirst #NaMoAgain",Neutral
Trending in India #PulwamaAttack : #boycottsidhu : #StandWithForces : #PulwamaTerroristAttack : Pakistan :Ö https://t.co/4pTfZjnjm0,Wed Feb 20 08:57:21 +0000 2019,0,0,"<a href=""http://zagah.com"" rel=""nofollow"">Zagah</a>",,,Zagah #FollowBack,,Neutral
RT @Lawyer_SFJ: #PulwamaAttack Is NOT an act of Terrorism But a ìLegitimateî Military Target In armed conflict between @adgpi Indian ForcesÖ,Wed Feb 20 08:57:22 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"Stanford, CA",GURISHAR SINGH,,Negative
#Trending #Pakistan #PakistanZindabad #PulwamaAttack #PulwamaDrama #Pulwama https://t.co/9myieYoL6x,Wed Feb 20 08:57:23 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Karachi,Saad Hussain,Events & Activations,Neutral
RT @AqsaAbbasy: For those who are blaming Pakistan for #PulwamaAttack should read this out loud please. Your conspiracy isnít gonna work heÖ,Wed Feb 20 08:57:24 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,Karachi,Salman Inqalabi,Avid follower of current affairs.  Proud Muslim and Pakistani.An Insafian. #PTIFamily,Negative
RT @Lawyer_SFJ: #PulwamaAttack Is Not act of ìTerrorismî - Geneva Convention 1949 Protocols I &amp; II In Conflict itís Legitimate Target @majoÖ,Wed Feb 20 08:57:25 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"Stanford, CA",GURISHAR SINGH,,Negative
RT @Lawyer_SFJ: #PulwamaAttack Khoon Ka Badla Khoon Call by @MEAIndia. #SikhSoldiers DoNot Fight For @adgpi Indian Army - Protect KashmiriíÖ,Wed Feb 20 08:57:29 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"Stanford, CA",GURISHAR SINGH,,Neutral
"RT @Prof_Hariom: Dear Bharatiya
Latest from #Jammu
Lawyers across Jammu province again strike work in all courts, incl High Court, expressiÖ",Wed Feb 20 08:57:30 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,USA,ravi mirakhur,,Positve
RT @suhasinih: Saudi Arabian Crown Prince Mohammed bin Salman after talks with PM Modi makes no mention of #PulwamaAttack or cross border tÖ,Wed Feb 20 08:57:31 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"Karachi, Pakistan",Ahmed Ali Arbani,MBA from SZABIST & Government Servant. Part time blogger #Baaghi #Wanderer #Multilingual #Foodie #Traveler,Negative
RT @JhaSanjay: Sad indeed! https://t.co/ml6EW1G1Xa,Wed Feb 20 08:57:32 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,vivek_bharti,"Engineer ,tech lover , blogger , Digital marketer , future Entrepreneur ...",Negative
RT @suhasinih: Saudi Arabian Crown Prince Mohammed bin Salman after talks with PM Modi makes no mention of #PulwamaAttack or cross border tÖ,Wed Feb 20 08:57:33 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,Nishith,"Content Editor, Arsenal through and through; Cricket 'enthusiast'",Negative
@TajinderBagga Tareef ki baat ye hai ke ye log #PulwamaAttack ki takleef mai bhi musukrakar condemn kr rhe hain.... Hahaha #pakiterror,Wed Feb 20 08:57:33 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"New Delhi, India",AtHaRvA,"Indian by mind, heart and soul",Positve
"RT @priyaakulkarni2: #PulwamaAttack has been politicized by #MahaGathbandhan .

Birds of same feathers flock together. https://t.co/MExRfyuÖ",Wed Feb 20 08:57:36 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,maheshdhangar,,Neutral
Serious Investigation. |  Pulwama attack: Maruti Suzuki engineers at ground zero to help probeÖ https://t.co/Cf2LXPYGAi,Wed Feb 20 08:57:40 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,India - Bharat - Hindustan,Act India - One India,"Mission Vision & Passion. To Unite To Work, To Make India World's No.1 Nation. My Adage-If #YouCan't Dream, #WeCan't Win!
PM #NaMo #Modi Ji Follows Sateash Jain",Negative
RT @ForeignOfficePk: #Pakistan welcomes the @ohchr statement regarding the #PulwamaAttack being used to justify violence against #KashmirisÖ,Wed Feb 20 08:57:41 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,Greece,Yawar Abbas,"ChargÈ d'affaires (Embassy of Pakistan, Athens); reading & writing is a passion; studied Political Science & IR; diplomat @ Foreign Service of Pakistan",Negative
"Amazing And Great PM In Isareal And Thanks For Support #PulwamaAttack 
@narendramodi #AbYaalgarHoga",Wed Feb 20 08:57:43 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Mumbai,Samresh K.Singh(Raj),"You can find me at http://twiends.com/samreshkumarsi3
Mera Dharam He Mera Pehchan Hai,Mera Dharam Desh Prem Aur Sanskar Sikhata Hai.
ALWAYS NATION FIRST.",Positve
"RT @chetan_bhagat: Shocked, saddened and more than anything, super angry at the news of the #PulwamaAttack.",Wed Feb 20 08:57:46 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,gurgaon not gurugram,jonyRao,"I am 23 year old...I don't have voter ID....#SMART ... #bhakt hai sirf sheera wali ke
..#JAIMATADI...",Negative
RT @indiatvnews: #PulwamaAttack cruel symbol of 'attack on humanity': PM #NarendraModi at joint press conference with Saudi Crown Prince #MÖ,Wed Feb 20 08:57:47 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,THE SPIRAL SPIRITED,"[ Success is like a shower, failure makes you a believer; achiever. Comparison is the thief of joy. Try Try Ö Never say die. Never give up! Ö and this is LIFE ]",Negative
RT @MehboobaMufti: But how was this consensus arrived on after MBS recently announced 20 billion dollars for Pak post Pulwama attacks? SeemÖ,Wed Feb 20 08:57:47 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"Pulwama, Jammu And Kashmir",Arif Amin,Student of Peace! #RTís not endorsements.,Negative
#PMModi is so famous n strong leader worldwide that in joint press conference #SaudiCrownPrinceInIndia didnt even mÖ https://t.co/DMaS8Q9Lr3,Wed Feb 20 08:57:52 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Mumbai,Hashim Y J,,Positve
Pak Condolences will not bring back lives lost nor heal India's wounds. If u Pakies are really sincere then condemnÖ https://t.co/wVMihk3gtc,Wed Feb 20 08:57:55 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Nagar,AkbMs,"Thinker, Desh & NaMo bhakth, Very Good 4 good; Very Bad 4 bad. Stone 4 Bricks! Trust Bharath & Hindutva.  Conversion-Hater. Tweets 4 fun & time-pass too. No DM.",Positve
RT @suhasinih: Saudi Arabian Crown Prince Mohammed bin Salman after talks with PM Modi makes no mention of #PulwamaAttack or cross border tÖ,Wed Feb 20 08:57:57 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,N 22∞34' 0'' / E 88∞23' 0'',arun gangh,LIV N LET LIVE,Negative
1 location and same placard? Nice photoshoot. Who was the organiser btw?,Wed Feb 20 08:57:57 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,Senthil,,Positve
RT @NihaMasih: Very odd that PM's speech alongside #CrownPrince only made generic statements on curbing terrorism but did not mention PakisÖ,Wed Feb 20 08:57:59 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Bangalore,crazyrals,"Political observer, Cricket watcher, Movie enthusiast, IT professional.",Negative
RT @iamsky47: Amnesty International has said that the Indian Army is killing innocent Kashmiri people in Kashmir. UN should be take actionÖ,Wed Feb 20 08:58:02 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Dubai, United Arab Emirates",Black&White,What is going on !!!,Negative
"RT @priyankac19: Justin Trudeau was ësnubbedí by PM Modi for showing support to Khalistanis&amp;we stood in solidarity.
MBS,at the back of #PulÖ",Wed Feb 20 08:58:03 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,India,Priyaranjan,"Humanity first,
Indian, Hate all religions",Positve
RT @KhurafatiChopra: JUST IN: HRD Minister Prakash Javadekar says there is no threat to Kashmiri students as it is being made out to be. CoÖ,Wed Feb 20 08:58:04 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Dewas, India",N@win chouhan,,Negative
#PulwamaAttack,Wed Feb 20 08:58:05 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,India,Mr. Kali Prasad Shukla,,Neutral
Prime Minister Modi must take coercive actions both domestically and internationally. Already financial help has beÖ https://t.co/M8n182urnq,Wed Feb 20 08:58:06 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"Gold Coast, Queensland",Dr.Veena Sharma,"PhD. in International Public Policy from Osaka University, Japan",Positve
"RT @drshamamohd: BJP leaders Satyapal Singh, Sidharth Nath Singh &amp; Rajendra Agarwal laugh &amp; chat at the cremation of martyr Ajay Kumar.

ThÖ",Wed Feb 20 08:58:07 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,Praveen,Strategy and marketing professional.,Positve
"RT @anshikashukla_: April would've seen their first wedding anniversary! 

If this isn't war, already, what is ! Which country sees such caÖ",Wed Feb 20 08:58:07 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,DA,,Positve
"RT @priyankac19: Justin Trudeau was ësnubbedí by PM Modi for showing support to Khalistanis&amp;we stood in solidarity.
MBS,at the back of #PulÖ",Wed Feb 20 08:58:10 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,Rahul Sharma,Tweets r personal,Positve
RT @suhasinih: Saudi Arabian Crown Prince Mohammed bin Salman after talks with PM Modi makes no mention of #PulwamaAttack or cross border tÖ,Wed Feb 20 08:58:11 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,"Mumbai, India",jatindesai,Journalist | Human Rights Activist,Negative
@humasqureshi @Varun_dvn @Nawazuddin_S @MaddockFilms Watch our Cover Song Ae Watan...A Tribute to #PulwamaattackÖ https://t.co/KVbF1HdEDJ,Wed Feb 20 08:58:11 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"New Delhi, India",New Revolution Production,"We are a media production house..which promote talents like new singers,actors,rappers,dancers.
https://www.facebook.com/Nrp.org/",Neutral
"RT @ndtv: ""PM should've attended all-party meet after #PulwamaAttack"": Sharad Pawar https://t.co/fFGyplUC2e https://t.co/fwfeNq3Qs1",Wed Feb 20 08:58:13 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"New Delhi, India",Fanish Kumar Jha,"a true congressi, @incindia @rahulgandhi @ahmad_shakeel followed by @Georgekurianinc @nanda_pradeip @SudheenKulkarni @kirtiazadmp @jhasanjay",Neutral
"RT @newslaundry: #Pulwamaattack: Giving a bloody nose to Pakistan will be very satisfying, but what will be more useful is paralysing the PÖ",Wed Feb 20 08:58:14 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,MUMBAI,Ghatak,,Positve
"RT @htTweets: VIDEO | Wife of Major VS Dhoundiyal, who was killed in the Feb 18 Pulwama encounter, bid him an emotional farewell, whisperedÖ",Wed Feb 20 08:58:15 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,DA,,Negative
RT @NihaMasih: Very odd that PM's speech alongside #CrownPrince only made generic statements on curbing terrorism but did not mention PakisÖ,Wed Feb 20 08:58:16 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,New Delhi via Lucknow,Uzair Hasan Rizvi,"Fact Checking for @AFPFactCheck - News & Features @afp South Asia-Pacific - Former (Hindustan Times) @htTweets - @manutd fan - Views mine, RTs not endorsements",Negative
"RT @ZeeNews: Pakistan Army asks #MasoodAzhar and #hafizsaeed to lay low over #Pulwamaattack aftermath: Sources 

https://t.co/kEtqN96zFm",Wed Feb 20 08:58:17 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Surat, India",Jitesh Rajput,,Negative
"RT @IamArhanBagati: Donated 50,000 INR on @BharatKeVeer to the families of bravehearts who lost their lives in the #PulwamaAttack. I urge yÖ",Wed Feb 20 08:58:19 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Indore, India",Ravi Khandelwal,"Indian, Art of Living volunteer, Sr. UI Designer / Frontend Developer, Seeker",Negative
#PulwamaAttack,Wed Feb 20 08:58:23 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,India,Mr. Kali Prasad Shukla,,Neutral
"RT @MajorSaurabhSh1: #UnFollowKapilSharma 
#PulwamaAttack 
#boycottkapilsharma https://t.co/Pmz9eOk0J4",Wed Feb 20 08:58:26 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,SP Tripathi,,Neutral
"RT @amargov: She posted a photograph of the blast site and added ìnot 40, but 400 must have been killedî. https://t.co/i5IXu2pyJI",Wed Feb 20 08:58:27 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,India,Vismay,My views will be extremist for your liberal undies..!! Politically Right..!! RTs are not endorsement.,Neutral
2/3 @ImranKhanPTI What has happened to HafizSaeed after Mumbai attack? JeM has taken responsibility of Pulwama attaÖ https://t.co/EvMIsuwMnz,Wed Feb 20 08:58:28 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,Gaurav,,Negative
"RT @TarekFatah: Hi Barkha @bDutt, I like your channel. Sorry to hear about your in-laws harrassment. Khush raho. https://t.co/8pBVhjF0mC",Wed Feb 20 08:58:30 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,Gaurav Kumar,INDIAN..,Positve
"RT @htTweets: ""#PulwamaAttack shows the menace of terror,"" says PM @narendramodi 

Follow LIVE updates: https://t.co/oiz1Id0vWN 

#PulwamaTÖ",Wed Feb 20 08:58:31 +0000 2019,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,Guru Star Seelan,,Negative
"RT @priyankac19: Justin Trudeau was ësnubbedí by PM Modi for showing support to Khalistanis&amp;we stood in solidarity.
MBS,at the back of #PulÖ",Wed Feb 20 08:58:32 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Bengaluru, India",Yash,"Proud Hindu & Proud Congressi .
Tweets personal. RTs not endorsement.",Positve
Sahi kaha,Wed Feb 20 08:58:37 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,Biplab Goswami,Citizen of Bharat,Neutral
RT @SewaRam68234762: Agar dukh k samaye m koi bhi guru ye bole ki karamo ka fal to bhogna hi pdega to samjho vo guru puran roop se nakali hÖ,Wed Feb 20 08:58:39 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Himachal Pradesh, India",Rama Bisht,Sat sahib Ji,Neutral
RT @alisalmanalvi: Not even surprised that Talat Hussain and Reham Khan share the same point of view on PM Imran Khan's policy statement ovÖ,Wed Feb 20 08:58:39 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Dubai, United Arab Emirates",MALIK QASIM,"#teaminsaaf #PTIVF #Pakistan #du #UAE #NA156 #NA88
#pakarmy #insafian #ptifamily #insafianspower",Positve
@ImranKhanPTI ko agar baat cheet se mamle ko hal karna ata to unko khud teen teen shadiyaa nahi karni padti.Ö https://t.co/ndpijh6bcM,Wed Feb 20 08:58:43 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,"Kuala Lumpur, Malaysia",Manoj Tripathi,"IIT-KGP Alumni, Researcher, Living in Kuala Lumpur Malaysia, A Proud and Tolerant Indian..",Neutral
